reg_CC1,reg_CC2,reg_CC3,reg_CC4,reg_CC5,reg_CC6,reg_CC7,reg_CC8,reg_CC9,reg_CC10,reg_CC11,reg_CC12,reg_CC13,unreg_CC1,unreg_CC2,unreg_CC3,unreg_CC4,unreg_CC5,unreg_CC6,unreg_CC7,unreg_CC8,unreg_CC9,unreg_CC10,unreg_CC11,unreg_CC12,unreg_CC13
-0.10702,0.024141,0.041903,0.068571,0.081311,0.04391,0.086268,-0.05452,-0.14157,-0.071154,0.018012,0.066501,0.049491,-0.028368,0.11521,0.026445,0.0055202,-0.010742,0.06674,0.045242,0.01957,-0.1881,0.040728,-0.045068,0.066961,-0.011521
0.11478,0.018312,0.10392,0.067475,-0.037404,-0.0195,0.0033535,0.11882,0.062073,-0.14774,-0.0111,-0.049067,0.058934,0.08391,0.098276,0.03053,0.038017,-0.0024969,-0.099281,-0.075739,-0.055434,-0.03228,-0.0051105,0.06885,0.019317,0.059929
0.07638,-0.1677,-0.023034,-0.070121,0.048388,-0.1364,0.026347,0.055045,0.03369,-0.020646,0.028887,-0.021827,-0.039057,0.076222,-0.16526,-0.02935,-0.062357,0.0368,-0.13645,0.028672,0.050168,0.042373,-0.026044,0.013527,0.0030464,-0.039144
0.11186,0.11092,-0.021565,0.010128,-0.0080199,-0.10476,-0.15376,-0.050374,0.026231,0.10731,0.1087,0.0018143,0.030103,0.070989,0.11178,0.01439,-0.015304,-0.072778,-0.045927,-0.082389,-0.055293,-0.0057176,0.06502,0.16268,-0.018259,0.028442
-0.088153,0.15214,-0.0062976,0.0045859,0.089851,-0.083384,0.034048,0.071019,-0.06852,0.087808,0.057411,-0.017531,-0.0091192,-0.047148,0.081228,-0.091619,-0.0070353,0.017798,0.019473,0.039753,0.013876,0.16888,0.018008,-0.0028939,-0.022598,0.010813
0.076629,0.071266,-0.022474,0.052683,-0.088109,0.11821,-0.046459,0.073088,0.041492,0.015053,-0.027003,0.0031412,0.021576,0.048527,0.087126,-0.03896,0.046861,0.12298,-0.035351,-0.050615,0.13894,-0.021981,-0.084021,0.059952,0.024673,0.042622
0.143,-0.014644,-0.030028,0.1479,0.0019927,0.05623,0.030255,0.090112,-0.064094,0.00043373,-0.0086964,-0.0058584,-0.022015,0.080796,-0.066797,0.0052167,0.016697,0.1244,-0.048267,-0.024934,0.022099,-0.075152,-0.049231,0.027316,-0.0029534,0.10624
-0.11847,0.012582,0.085878,0.028527,0.052553,-0.11323,0.063319,0.027828,0.090634,0.055291,0.037382,0.085719,0.10283,-0.021645,0.050771,-0.017154,0.034205,-0.031721,0.063152,-0.10955,0.053236,0.090749,0.028933,0.1091,0.037592,0.10295
0.17336,-0.0046724,-0.11768,0.020046,0.012645,0.044284,0.0038829,-0.13605,-0.0036459,0.01738,0.034919,-0.012577,-0.084554,-0.051358,0.017256,-0.067376,-0.012191,-0.0086341,0.04127,-0.065156,0.063225,-0.044331,0.10842,-0.0073024,0.039229,-0.010904
0.16892,0.02179,-0.020488,-0.082793,-0.0024577,-0.044663,0.051877,-0.017122,-0.050247,0.013451,-0.0003205,-0.073716,-0.051422,0.16269,-0.091663,-0.090299,-0.037189,0.010658,0.05907,-0.032411,0.099125,-0.028404,0.022104,-0.047332,-0.1319,-0.082169
0.1062,-0.055585,0.047671,0.008537,0.073888,-0.052659,-0.038585,-0.012059,-0.0263,0.16478,-0.031382,0.12764,-0.062977,-0.022848,-0.068786,0.049248,-0.069714,0.062977,0.08476,-0.045476,0.074667,-0.080409,-0.030519,-0.012421,-0.083175,-0.019239
0.12064,0.044042,-0.038619,0.11853,-0.10503,0.074577,-0.096782,-0.043465,0.049137,-0.0065436,0.055111,-0.13604,0.03408,0.019368,-0.013567,-0.025773,-0.08528,-0.078184,-0.13176,0.040545,-0.021197,0.057426,0.051896,0.095794,-0.025252,-0.069497
0.10284,-0.0513,-0.041718,0.12759,0.055745,0.0010359,-0.049082,-0.0045257,-0.043119,0.056454,0.01326,0.11383,0.024715,0.039657,0.02648,0.02383,0.0068715,-0.043939,-0.043461,-0.034475,-0.045254,0.1183,0.050655,0.086659,-0.0053865,0.011307
0.12063,0.022706,0.050067,0.038055,-0.019356,0.043324,0.11215,0.059181,-0.029976,-0.10357,-0.069645,0.052748,-0.018764,0.024474,-0.044392,0.072923,0.079344,-0.023959,0.097998,-0.021087,0.085727,-0.016594,-0.027685,0.079131,-0.0094994,0.10236
0.20962,0.074373,-0.0045914,0.080605,0.057129,-0.019305,0.05662,0.10855,-0.027,-0.032806,-0.026017,0.058886,0.030927,0.079619,-0.051757,-0.043527,-0.015455,0.029926,-0.088437,0.0038461,0.12082,-0.045516,0.043678,0.0239,0.035579,-0.032895
