reg_CC1,reg_CC2,reg_CC3,reg_CC4,reg_CC5,reg_CC6,reg_CC7,reg_CC8,reg_CC9,reg_CC10,reg_CC11,reg_CC12,reg_CC13,unreg_CC1,unreg_CC2,unreg_CC3,unreg_CC4,unreg_CC5,unreg_CC6,unreg_CC7,unreg_CC8,unreg_CC9,unreg_CC10,unreg_CC11,unreg_CC12,unreg_CC13
0.29448,0.34198,0.30359,0.30541,0.2797,0.28624,0.28294,0.27895,0.26282,0.26017,0.26327,0.2317,0.21517,0.36372,0.35198,0.33631,0.32473,0.30963,0.28839,0.28435,0.26763,0.26233,0.24321,0.23765,0.22097,0.20617
0.27942,0.33294,0.28022,0.30302,0.26597,0.28721,0.28575,0.24282,0.25447,0.2592,0.25013,0.2451,0.23434,0.3693,0.35458,0.32851,0.31709,0.31244,0.29294,0.27789,0.27665,0.26301,0.25672,0.24724,0.23089,0.22807
0.38366,0.34323,0.338,0.32192,0.30681,0.30332,0.28857,0.27317,0.26609,0.26055,0.24146,0.23576,0.20943,0.38379,0.34353,0.33812,0.32206,0.30706,0.30314,0.28887,0.27316,0.26605,0.26041,0.24145,0.23559,0.20935
0.35054,0.33334,0.32609,0.29983,0.28033,0.27476,0.26735,0.25734,0.25145,0.24034,0.22433,0.20583,0.19533,0.36908,0.3541,0.3407,0.31974,0.29821,0.29165,0.28061,0.26791,0.26431,0.2506,0.23711,0.21636,0.2052
0.30783,0.33855,0.31817,0.31076,0.26976,0.32884,0.2949,0.25762,0.28794,0.26394,0.25442,0.24344,0.21332,0.37579,0.35968,0.35624,0.32012,0.31421,0.30017,0.28807,0.27981,0.26943,0.25669,0.23039,0.22135,0.20815
0.35525,0.35258,0.31882,0.29952,0.27715,0.28552,0.27723,0.26532,0.24121,0.25555,0.24203,0.20806,0.20794,0.37038,0.36823,0.34078,0.31735,0.30295,0.29822,0.29083,0.27758,0.26767,0.2572,0.24683,0.21862,0.21625
0.17885,0.26918,0.21203,0.24025,0.25605,0.22333,0.21246,0.20183,0.1904,0.19647,0.14911,0.19101,0.1679,0.37089,0.34992,0.34177,0.31988,0.31097,0.3063,0.29331,0.27534,0.27185,0.25312,0.24999,0.23945,0.21896
0.3398,0.31494,0.31238,0.31574,0.27178,0.28111,0.28258,0.27491,0.26463,0.25719,0.28301,0.23944,0.21423,0.37638,0.35794,0.33249,0.32293,0.31204,0.28974,0.2856,0.27829,0.26654,0.26266,0.2275,0.22245,0.21069
0.165,0.21309,0.2322,0.24915,0.2394,0.20929,0.19552,0.20237,0.18988,0.181,0.19043,0.17112,0.16489,0.36935,0.34902,0.332,0.3248,0.30841,0.30114,0.28981,0.28217,0.26689,0.25615,0.25001,0.23851,0.21445
0.35391,0.31819,0.31828,0.32111,0.27867,0.29141,0.26751,0.2751,0.2625,0.2483,0.24456,0.22525,0.2069,0.38146,0.3432,0.33865,0.33602,0.316,0.30869,0.27935,0.27827,0.26762,0.2582,0.24803,0.23019,0.21454
